IDRFME;DTREF;ANO;MES;TIMEID;DEF_12;nr_titulares;nr_outros_interv;PREST;max_escolaridade;min_escolaridade;max_risco_regiao;min_risco_regiao;n_tit_domvenc;med_domvenc;med_dias_devedor;flag_nao_resi;med_idade;younger;older;avg_dependentes;flag_resec;med_filhos;med_idade_filhos;med_rend_disp;pior_habitacao;best_habitacao;flag_resi;pior_vinclab;best_vinclab;best_prof2;pior_prof2;max_risco_origem2;min_risco_origem2;pior_estciv;best_estciv;CDTIPES;EXPOSICAO;MTLINHASDISP;PRAZO;FINALIDADE;FLAG_REEST;TXESFGLOBAL;FLG14PREST;OUT_VALPREST;INVALPRESTDUPLA;OUTVALPRESTDUPLA;CARNUM;PCTVALRES;SLDULTRESM;SLDPNTBSCAP1M;SLDPNTBSPPR;SLDPNTFUND;SLDPNTDEPPRZ;SLDPNTOUTDES;VALPRESTDUPLA;DO_PREST;DUMMYAUTONOVO;DUMMYPRAZO72_84;DUMMYPRAZOSUP84;DUMMYDOMVENC_AVAL;DUMMYRECPRAZO;DUMMYIFSUP5TC;INCTC;NUM_DEB_FINALtc;REC_PRAZO;NRDIASDEVEDOR;SLDPNTDO;SLDMDDOTM;SLDPNTTITRV;PLATRDIARIOCC;MEDR1MCC;MEDRADCC;MEDR1MCI;MEDRADCI;PRESTDIARIACI;MEDR1MCH;MEDRADCH;PRESTDIARIACH;MEDR1MCHP;SLDMDDEVAD;SLDMDDEV1M;SLDMDDEV3M;SLDMDDEV6M;TPRESTFRONTENDCI;flag_garant;flag_fin;envolvimento;ANTCONTA1;VARIOS_TITULARES;INDRESTRUT_num;flag14prest;SALDO_PONTUAL;naciona_final_num;naciona_rend_num;estciv_final_num
AA60013666377;2015-01-31;2015;1;201501;0;2;0;118.91;3;3;10;10;0;;0;0;43.5;41;46;0.5;0;0;0;35.211666667;3;1;1;2;2;5;6;2;2;5;1;P;6981.3;0;84;98;1;89.741;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;0;1;0;0;0;0;;;;6250.00;6271.646000;6431.53;;;;;;;;;;;;0.00;1;1;1;;1;1;0;0;0;0;1
AA60013672532;2015-01-31;2015;1;201501;0;1;0;208.23;3;3;8;8;1;;0;0;27;27;27;0;0;0;0;1105.1666667;5;5;1;2;2;3;3;2;2;5;5;P;7558.34;0;72;98;0;12.683;N;0.00;0.00;0.00;0;30.00000;284.000000;0.00;0.00;0.00;1400.00;0.00;0;136.38764827;0;0;0;0;1;0;0;17;212.666667;0;604.33;;;;;;;;;;;;;0.000000;;;;0.00;1;1;2;;0;0;0;1400;0;0;1
AA60013672906;2015-01-31;2015;1;201501;0;2;0;124.8;1;1;8;1;0;;0;0;26;25;27;0;0;0;0;498.671;2;1;1;1;1;4;6;2;2;2;2;P;5289.68;0;60;98;0;15.809;N;0.00;0.00;0.00;0;0.00000;119.666667;0.00;0.00;0.00;0.00;0.00;0;95.886752404;0;0;0;0;0;0;0;27;0;0;6.55;;;;;;;;;33540.000000;33504.47;121.62;;0.000000;;;;0.00;1;1;4;;1;0;0;0;0;0;6
AA60013673026;2015-01-31;2015;1;201501;0;1;0;97.93;1;1;3;3;1;;0;0;28;28;28;0;0;0;0;1007.7366667;5;5;1;1;1;6;6;2;2;5;5;P;4222.97;0;60;98;0;7.085;N;0.00;0.00;0.00;0;0.00000;177.666667;0.00;0.00;0.00;40.00;0.00;0;181.42210456;0;0;0;0;1;0;0;21;20.666667;0;179.39;;;;;;;;;;;;;;1.000000;;;0.00;1;1;2;;0;0;0;40;0;0;1
AA60013673384;2015-01-31;2015;1;201501;0;1;1;193.58;1;1;8;8;0;;28;0;64;64;64;0;0;0;0;646.42;5;5;1;2;2;4;4;2;2;1;1;P;10088.52;0;72;98;1;43.538;N;0.00;0.00;0.00;0;0.00000;169.333333;0.00;0.00;0.00;0.00;0.00;0;87.474601198;0;0;0;0;0;0;0;21;485.085853;28;-1055.82;144.333333;;8750.00;6111.037667;5758.23;3945.830000;3481.16;263.57;;;;;1055.820000;4.000000;153.000000;76.500000;0.00;0;1;2;;0;1;0;0;0;0;2
AA60013673388;2015-01-31;2015;1;201501;0;1;0;59.75;1;1;7;7;1;;0;0;49;49;49;0;0;0;0;0;5;5;1;2;2;4;4;2;2;5;5;P;1540.18;0;36;98;1;999.000;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;76.06;;;;;;;;;;;;;;1.000000;;;0.00;1;1;1;;0;0;0;0;0;0;1
AA60013673389;2015-01-31;2015;1;201501;0;4;4;239.83;1;1;7;1;2;;0;0;46.5;41;49;0;0;0;0;0;5;1;1;2;1;4;6;2;2;2;1;P;10769.31;0;60;98;1;999.000;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0.00;;;;;;;;;;;;;;;;;0.00;0;1;1;;1;0;0;0;0;0;2
AA60013674906;2015-01-31;2015;1;201501;0;2;0;639.28;2;1;8;8;2;;0;1;50;39;61;0;0;0.5;19.5;3958.2933333;5;3;1;2;1;4;6;2;2;5;4;P;11682.14;0;24;98;0;5.977;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;4
AA60013674949;2015-01-31;2015;1;201501;0;1;2;347.16;3;3;8;8;0;;5;0;28;28;28;1;0;0;0;0;5;5;1;2;2;4;4;2;2;5;5;P;14027.56;0;48;30;0;20.263;N;0.00;0.00;0.00;0;0.00000;233.333333;0.00;0.00;0.00;250.00;0.00;0;67.212044302;0;0;0;0;1;0;0;2;0;5;3473.98;0.000000;;;;;;;;;;;;;;;;0.00;0;0;2;;0;0;0;250;0;0;1
AA60013676075;2015-01-31;2015;1;201501;0;2;0;159.03;3;1;8;1;0;;0;0;32.5;26;39;0;0;0;0;300.91266667;2;1;1;1;1;3;4;2;2;2;2;P;6656.03;0;60;98;0;30.266;N;0.00;0.00;0.00;0;0.00000;0.000000;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;3.27;;;;;;;;;;;;;;;;;0.00;1;1;1;;1;0;0;0;0;0;6
