"Date","Price","Open","High","Low","Change %"
"12/31/2024","2.590","2.604","2.610","2.596","-0.31%"
"12/30/2024","2.598","2.644","2.649","2.587","-1.27%"
"12/27/2024","2.632","2.573","2.646","2.573","2.79%"
"12/24/2024","2.560","2.563","2.566","2.563","-0.23%"
"12/23/2024","2.566","2.529","2.571","2.529","1.46%"
"12/20/2024","2.529","2.550","2.563","2.523","-0.67%"
"12/19/2024","2.546","2.501","2.565","2.496","2.35%"
"12/18/2024","2.487","2.482","2.509","2.475","0.48%"
"12/17/2024","2.476","2.497","2.509","2.466","-0.72%"
"12/16/2024","2.493","2.503","2.507","2.478","0.00%"
"12/13/2024","2.493","2.467","2.497","2.453","2.09%"
"12/12/2024","2.443","2.385","2.445","2.385","2.35%"
"12/11/2024","2.386","2.369","2.390","2.348","1.04%"
"12/10/2024","2.362","2.371","2.391","2.347","0.11%"
"12/09/2024","2.359","2.347","2.365","2.318","0.64%"
"12/06/2024","2.345","2.342","2.354","2.311","0.51%"
"12/05/2024","2.332","2.305","2.349","2.284","1.90%"
"12/04/2024","2.289","2.315","2.335","2.292","0.07%"
"12/03/2024","2.287","2.285","2.315","2.268","0.68%"
"12/02/2024","2.272","2.325","2.326","2.274","-2.24%"
"11/29/2024","2.324","2.355","2.359","2.328","-1.46%"
"11/28/2024","2.359","2.398","2.402","2.362","-1.63%"
"11/27/2024","2.398","2.430","2.430","2.376","-1.52%"
"11/26/2024","2.434","2.452","2.463","2.432","-0.33%"
"11/25/2024","2.443","2.491","2.495","2.438","-2.16%"
"11/22/2024","2.497","2.552","2.578","2.483","-1.79%"
"11/21/2024","2.542","2.572","2.592","2.526","-0.84%"
"11/20/2024","2.563","2.579","2.613","2.563","-0.06%"
"11/19/2024","2.565","2.600","2.600","2.499","-1.12%"
"11/18/2024","2.594","2.585","2.630","2.563","0.50%"
"11/15/2024","2.581","2.575","2.610","2.554","0.29%"
"11/14/2024","2.573","2.651","2.656","2.573","-1.49%"
"11/13/2024","2.612","2.630","2.630","2.582","1.40%"
"11/12/2024","2.576","2.563","2.583","2.535","0.45%"
"11/11/2024","2.565","2.607","2.608","2.551","-1.59%"
"11/08/2024","2.606","2.683","2.687","2.598","-3.12%"
"11/07/2024","2.691","2.663","2.751","2.655","1.80%"
"11/06/2024","2.643","2.660","2.685","2.599","-0.15%"
"11/05/2024","2.647","2.620","2.664","2.616","1.34%"
"11/04/2024","2.612","2.650","2.670","2.606","-1.25%"
"11/01/2024","2.645","2.625","2.666","2.604","0.82%"
"10/31/2024","2.624","2.671","2.693","2.620","-0.34%"
"10/30/2024","2.632","2.619","2.650","2.565","0.71%"
"10/29/2024","2.614","2.565","2.626","2.564","1.48%"
"10/28/2024","2.576","2.579","2.634","2.545","-0.12%"
"10/25/2024","2.579","2.561","2.585","2.535","1.06%"
"10/24/2024","2.552","2.604","2.604","2.534","-2.33%"
"10/23/2024","2.613","2.616","2.632","2.598","0.23%"
"10/22/2024","2.607","2.604","2.623","2.576","1.48%"
"10/21/2024","2.569","2.484","2.573","2.477","3.76%"
"10/18/2024","2.476","2.501","2.524","2.471","-0.80%"
"10/17/2024","2.496","2.467","2.514","2.467","1.46%"
"10/16/2024","2.460","2.504","2.504","2.458","-1.99%"
"10/15/2024","2.510","2.554","2.554","2.501","1.17%"
"10/14/2024","2.481","2.471","2.497","2.460","0.00%"
"10/11/2024","2.481","2.455","2.506","2.452","0.81%"
"10/10/2024","2.461","2.488","2.489","2.460","-0.24%"
"10/09/2024","2.467","2.456","2.468","2.439","0.28%"
"10/08/2024","2.460","2.460","2.475","2.435","0.29%"
"10/07/2024","2.453","2.421","2.464","2.416","1.45%"
"10/04/2024","2.418","2.363","2.451","2.363","2.63%"
"10/03/2024","2.356","2.320","2.377","2.319","1.46%"
"10/02/2024","2.322","2.255","2.336","2.255","2.74%"
"10/01/2024","2.260","2.341","2.350","2.229","-3.95%"
"09/30/2024","2.353","2.355","2.393","2.330","-0.13%"
"09/27/2024","2.356","2.386","2.398","2.321","-1.30%"
"09/26/2024","2.387","2.392","2.397","2.341","-0.58%"
"09/25/2024","2.401","2.363","2.404","2.349","1.95%"
"09/24/2024","2.355","2.371","2.420","2.350","-1.46%"
"09/23/2024","2.390","2.416","2.422","2.357","-1.32%"
"09/20/2024","2.422","2.405","2.428","2.371","0.96%"
"09/19/2024","2.399","2.400","2.421","2.387","0.59%"
"09/18/2024","2.385","2.338","2.391","2.332","2.10%"
"09/17/2024","2.336","2.321","2.339","2.289","0.78%"
