"Date","Price","Open","High","Low","Change %"
"12/31/2024","2.232","2.232","2.232","2.232","-0.58%"
"12/30/2024","2.245","2.264","2.278","2.233","-0.97%"
"12/27/2024","2.267","2.262","2.309","2.252","1.84%"
"12/24/2024","2.226","0.000","0.000","0.000","-0.62%"
"12/23/2024","2.240","2.246","2.248","2.207","1.96%"
"12/20/2024","2.197","2.212","2.225","2.179","-0.86%"
"12/19/2024","2.216","2.230","2.244","2.203","2.03%"
"12/18/2024","2.172","2.181","2.191","2.167","-0.28%"
"12/17/2024","2.178","2.198","2.205","2.165","0.05%"
"12/16/2024","2.177","2.171","2.177","2.149","0.60%"
"12/13/2024","2.164","2.123","2.165","2.123","3.00%"
"12/12/2024","2.101","2.073","2.103","2.017","3.04%"
"12/11/2024","2.039","2.045","2.061","2.008","0.05%"
"12/10/2024","2.038","2.068","2.086","2.024","-1.12%"
"12/09/2024","2.061","2.049","2.072","2.035","-0.53%"
"12/06/2024","2.072","2.078","2.090","2.043","0.29%"
"12/05/2024","2.066","2.045","2.081","2.027","1.13%"
"12/04/2024","2.043","2.060","2.086","2.040","0.05%"
"12/03/2024","2.042","2.036","2.056","2.015","0.64%"
"12/02/2024","2.029","2.050","2.056","2.016","-1.55%"
"11/29/2024","2.061","2.097","2.104","2.060","-1.62%"
"11/28/2024","2.095","2.146","2.149","2.094","-2.65%"
"11/27/2024","2.152","2.155","2.181","2.139","-0.88%"
"11/26/2024","2.171","2.191","2.192","2.154","0.28%"
"11/25/2024","2.165","2.184","2.215","2.154","-1.10%"
"11/22/2024","2.189","2.277","2.294","2.162","-3.27%"
"11/21/2024","2.263","2.320","2.325","2.247","-0.96%"
"11/20/2024","2.285","2.311","2.322","2.271","0.31%"
"11/19/2024","2.278","2.272","2.297","2.220","-1.09%"
"11/18/2024","2.303","2.315","2.347","2.301","0.79%"
"11/15/2024","2.285","2.283","2.313","2.256","0.44%"
"11/14/2024","2.275","2.355","2.361","2.274","-2.99%"
"11/13/2024","2.345","2.380","2.385","2.328","0.43%"
"11/12/2024","2.335","2.351","2.351","2.294","0.69%"
"11/11/2024","2.319","2.338","2.361","2.311","-2.15%"
"11/08/2024","2.370","2.382","2.398","2.351","-1.94%"
"11/07/2024","2.417","2.387","2.473","2.387","1.55%"
"11/06/2024","2.380","2.335","2.421","2.334","-1.86%"
"11/05/2024","2.425","2.426","2.442","2.387","1.55%"
"11/04/2024","2.388","2.378","2.412","2.371","0.93%"
"11/01/2024","2.366","2.341","2.381","2.327","1.28%"
"10/31/2024","2.336","2.367","2.382","2.317","0.73%"
"10/30/2024","2.319","2.251","2.333","2.231","2.38%"
"10/29/2024","2.265","2.234","2.280","2.234","1.30%"
"10/28/2024","2.236","2.299","2.309","2.215","-0.97%"
"10/25/2024","2.258","2.207","2.262","2.198","2.87%"
"10/24/2024","2.195","2.219","2.223","2.179","-2.49%"
"10/23/2024","2.251","2.271","2.272","2.244","-1.57%"
"10/22/2024","2.287","2.286","2.303","2.251","1.19%"
"10/21/2024","2.260","2.161","2.264","2.160","5.31%"
"10/18/2024","2.146","2.193","2.197","2.141","-1.78%"
"10/17/2024","2.185","2.218","2.228","2.177","-0.27%"
"10/16/2024","2.191","2.205","2.223","2.187","-2.14%"
"10/15/2024","2.239","2.258","2.273","2.230","-2.78%"
"10/14/2024","2.303","2.288","2.315","2.278","0.00%"
"10/11/2024","2.303","2.272","2.326","2.271","1.50%"
"10/10/2024","2.269","2.293","2.314","2.265","-0.44%"
"10/09/2024","2.279","2.239","2.279","2.239","0.84%"
"10/08/2024","2.260","2.273","2.294","2.258","-0.53%"
"10/07/2024","2.272","2.248","2.281","2.240","1.97%"
"10/04/2024","2.228","2.187","2.252","2.178","2.63%"
"10/03/2024","2.171","2.150","2.189","2.149","1.31%"
"10/02/2024","2.143","2.111","2.160","2.111","1.76%"
"10/01/2024","2.106","2.165","2.168","2.070","-3.44%"
"09/30/2024","2.181","2.174","2.216","2.159","-0.18%"
"09/27/2024","2.185","2.181","2.191","2.138","-0.59%"
"09/26/2024","2.198","2.208","2.209","2.158","-1.17%"
"09/25/2024","2.224","2.186","2.224","2.170","2.49%"
"09/24/2024","2.170","2.211","2.242","2.165","-2.65%"
"09/23/2024","2.229","2.276","2.278","2.223","-3.00%"
"09/20/2024","2.298","2.288","2.303","2.258","0.75%"
"09/19/2024","2.281","2.315","2.317","2.274","-1.00%"
"09/18/2024","2.304","2.272","2.311","2.261","1.59%"
"09/17/2024","2.268","2.219","2.269","2.198","1.89%"
"09/16/2024","2.226","2.262","2.263","2.225","-1.42%"
"09/13/2024","2.258","2.253","2.269","2.228","-1.01%"
"09/12/2024","2.281","2.256","2.283","2.226","2.52%"
"09/11/2024","2.225","2.252","2.284","2.213","-2.54%"
"09/10/2024","2.283","2.322","2.325","2.283","-1.17%"
"09/09/2024","2.310","2.352","2.370","2.303","-0.26%"
"09/06/2024","2.316","2.329","2.352","2.291","-1.57%"
"09/05/2024","2.353","2.358","2.386","2.338","-0.51%"
"09/04/2024","2.365","2.419","2.420","2.356","-2.67%"
"09/03/2024","2.430","2.469","2.496","2.417","-1.58%"
"09/02/2024","2.469","2.485","2.494","2.463","1.27%"
"08/30/2024","2.438","2.425","2.443","2.399","0.37%"
"08/29/2024","2.429","2.432","2.446","2.382","-0.04%"
"08/28/2024","2.430","2.440","2.443","2.401","-0.69%"
"08/27/2024","2.447","2.400","2.458","2.400","1.96%"
"08/26/2024","2.400","2.362","2.409","2.359","1.01%"
"08/23/2024","2.376","2.407","2.416","2.358","-1.29%"
"08/22/2024","2.407","2.359","2.413","2.341","1.39%"
"08/21/2024","2.374","2.415","2.416","2.369","-1.37%"
"08/20/2024","2.407","2.446","2.446","2.404","-1.51%"
"08/19/2024","2.444","2.435","2.458","2.408","-1.05%"
"08/16/2024","2.470","2.435","2.470","2.412","0.69%"
"08/15/2024","2.453","2.358","2.454","2.356","3.94%"
"08/14/2024","2.360","2.375","2.408","2.352","-0.08%"
"08/13/2024","2.362","2.418","2.423","2.358","-2.15%"
"08/12/2024","2.414","2.438","2.444","2.413","-0.21%"
"08/09/2024","2.419","2.444","2.444","2.407","-1.67%"
"08/08/2024","2.460","2.427","2.472","2.398","0.16%"
"08/07/2024","2.456","2.418","2.485","2.413","2.33%"
"08/06/2024","2.400","2.435","2.445","2.363","-0.74%"
"08/05/2024","2.418","2.333","2.421","2.302","1.30%"
"08/02/2024","2.387","2.431","2.450","2.364","-2.93%"
"08/01/2024","2.459","2.479","2.504","2.441","-1.32%"
"07/31/2024","2.492","2.524","2.524","2.490","-1.74%"
"07/30/2024","2.536","2.543","2.575","2.525","-0.98%"
"07/29/2024","2.561","2.579","2.581","2.539","-1.35%"
"07/26/2024","2.596","2.635","2.652","2.582","-0.50%"
"07/25/2024","2.609","2.630","2.648","2.585","-1.21%"
"07/24/2024","2.641","2.638","2.651","2.610","-0.08%"
"07/23/2024","2.643","2.674","2.677","2.633","-0.79%"
"07/22/2024","2.664","2.635","2.665","2.631","0.83%"
"07/19/2024","2.642","2.624","2.655","2.602","1.62%"
"07/18/2024","2.600","2.622","2.643","2.582","-0.73%"
"07/17/2024","2.619","2.613","2.636","2.592","0.38%"
"07/16/2024","2.609","2.635","2.640","2.592","-1.40%"
"07/15/2024","2.646","2.684","2.686","2.642","-1.19%"
"07/12/2024","2.678","2.678","2.715","2.665","0.45%"
"07/11/2024","2.666","2.729","2.763","2.650","-2.34%"
"07/10/2024","2.730","2.754","2.758","2.713","-2.12%"
"07/09/2024","2.789","2.747","2.791","2.743","1.94%"
"07/08/2024","2.736","2.783","2.784","2.727","-1.33%"
"07/05/2024","2.773","2.802","2.817","2.756","-1.56%"
"07/04/2024","2.817","2.816","2.827","2.805","0.64%"
"07/03/2024","2.799","2.840","2.862","2.788","-1.76%"
"07/02/2024","2.849","2.850","2.881","2.822","-0.90%"
"07/01/2024","2.875","2.816","2.878","2.816","2.02%"
"06/28/2024","2.818","2.800","2.837","2.789","0.68%"
"06/27/2024","2.799","2.806","2.823","2.779","0.25%"
"06/26/2024","2.792","2.750","2.795","2.743","1.45%"
"06/25/2024","2.752","2.742","2.766","2.720","-0.18%"
"06/24/2024","2.757","2.745","2.763","2.724","0.11%"
"06/21/2024","2.754","2.742","2.761","2.696","-0.40%"
"06/20/2024","2.765","2.786","2.803","2.761","0.11%"
"06/19/2024","2.762","2.740","2.781","2.737","0.80%"
"06/18/2024","2.740","2.768","2.785","2.724","-0.94%"
"06/17/2024","2.766","2.740","2.796","2.720","1.21%"
"06/14/2024","2.733","2.777","2.777","2.697","-1.55%"
"06/13/2024","2.776","2.819","2.837","2.770","-0.82%"
"06/12/2024","2.799","2.876","2.892","2.793","-2.95%"
"06/11/2024","2.884","2.918","2.955","2.879","-1.44%"
"06/10/2024","2.926","2.888","2.933","2.880","2.24%"
"06/07/2024","2.862","2.808","2.891","2.793","2.95%"
"06/06/2024","2.780","2.759","2.811","2.746","1.57%"
"06/05/2024","2.737","2.786","2.788","2.734","-1.12%"
"06/04/2024","2.768","2.797","2.800","2.732","-1.25%"
"06/03/2024","2.803","2.879","2.885","2.783","-2.40%"
"05/31/2024","2.872","2.884","2.929","2.861","-0.42%"
"05/30/2024","2.884","2.908","2.918","2.874","-1.03%"
"05/29/2024","2.914","2.889","2.916","2.840","2.43%"
"05/28/2024","2.845","2.812","2.845","2.797","1.14%"
"05/27/2024","2.813","2.861","2.866","2.794","-1.61%"
"05/24/2024","2.859","2.853","2.885","2.834","-0.24%"
"05/23/2024","2.866","2.790","2.878","2.768","2.95%"
"05/22/2024","2.784","2.808","2.808","2.771","1.24%"
"05/21/2024","2.750","2.766","2.769","2.733","-0.58%"
"05/20/2024","2.766","2.776","2.779","2.740","0.33%"
"05/17/2024","2.757","2.712","2.771","2.696","2.95%"
"05/16/2024","2.678","2.639","2.688","2.633","1.09%"
"05/15/2024","2.649","2.756","2.760","2.648","-4.26%"
"05/14/2024","2.767","2.734","2.780","2.716","1.10%"
"05/13/2024","2.737","2.735","2.754","2.718","-0.80%"
"05/10/2024","2.759","2.706","2.761","2.690","1.06%"
"05/09/2024","2.730","2.718","2.733","2.688","1.22%"
"05/08/2024","2.697","2.676","2.703","2.665","1.58%"
"05/07/2024","2.655","2.678","2.685","2.649","-1.19%"
"05/06/2024","2.687","2.697","2.704","2.647","-0.92%"
"05/03/2024","2.712","2.759","2.759","2.650","-1.70%"
"05/02/2024","2.759","2.749","2.787","2.730","-0.68%"
"05/01/2024","2.778","2.740","2.778","2.778","0.07%"
"04/30/2024","2.776","2.740","2.792","2.723","2.06%"
"04/29/2024","2.720","2.760","2.761","2.708","-1.91%"
"04/26/2024","2.773","2.808","2.825","2.756","-1.98%"
"04/25/2024","2.829","2.800","2.847","2.764","1.91%"
"04/24/2024","2.776","2.734","2.788","2.718","2.70%"
"04/23/2024","2.703","2.681","2.729","2.675","0.30%"
"04/22/2024","2.695","2.759","2.768","2.690","-1.93%"
"04/19/2024","2.748","2.714","2.764","2.698","0.33%"
"04/18/2024","2.739","2.695","2.741","2.690","0.59%"
"04/17/2024","2.723","2.740","2.751","2.703","-0.58%"
"04/16/2024","2.739","2.687","2.755","2.678","2.43%"
"04/15/2024","2.674","2.645","2.699","2.644","1.98%"
"04/12/2024","2.622","2.691","2.697","2.579","-4.06%"
"04/11/2024","2.733","2.713","2.746","2.674","1.83%"
"04/10/2024","2.684","2.653","2.700","2.592","1.98%"
"04/09/2024","2.632","2.701","2.706","2.626","-2.55%"
"04/08/2024","2.701","2.722","2.722","2.686","1.54%"
"04/05/2024","2.660","2.627","2.674","2.609","1.22%"
"04/04/2024","2.628","2.656","2.661","2.609","-1.76%"
"04/03/2024","2.675","2.654","2.708","2.642","0.56%"
"04/02/2024","2.660","2.647","2.682","2.600","3.10%"
"04/01/2024","2.580","2.589","2.580","2.580","0.00%"
"03/29/2024","2.580","2.589","2.580","2.580","0.12%"
"03/28/2024","2.577","2.589","2.601","2.570","0.82%"
"03/27/2024","2.556","2.592","2.596","2.552","-1.69%"
"03/26/2024","2.600","2.626","2.629","2.582","-1.33%"
"03/25/2024","2.635","2.582","2.641","2.562","2.65%"
"03/22/2024","2.567","2.614","2.615","2.562","-1.50%"
"03/21/2024","2.606","2.650","2.653","2.591","-1.96%"
"03/20/2024","2.658","2.622","2.659","2.614","0.08%"
"03/19/2024","2.656","2.652","2.662","2.632","-0.15%"
"03/18/2024","2.660","2.659","2.675","2.644","0.15%"
"03/15/2024","2.656","2.663","2.668","2.634","0.95%"
"03/14/2024","2.631","2.574","2.639","2.549","2.41%"
"03/13/2024","2.569","2.538","2.593","2.530","0.43%"
"03/12/2024","2.558","2.525","2.573","2.509","0.75%"
"03/11/2024","2.539","2.479","2.551","2.464","1.89%"
"03/08/2024","2.492","2.521","2.528","2.462","-1.58%"
"03/07/2024","2.532","2.582","2.610","2.491","-1.94%"
"03/06/2024","2.582","2.606","2.625","2.568","-0.54%"
"03/05/2024","2.596","2.657","2.662","2.569","-3.10%"
"03/04/2024","2.679","2.710","2.712","2.655","-0.74%"
"03/01/2024","2.699","2.716","2.748","2.668","0.97%"
"02/29/2024","2.673","2.712","2.787","2.671","-2.20%"
"02/28/2024","2.733","2.754","2.756","2.704","0.00%"
"02/27/2024","2.733","2.718","2.735","2.696","0.48%"
"02/26/2024","2.720","2.644","2.722","2.636","2.80%"
"02/23/2024","2.646","2.748","2.770","2.646","-2.68%"
"02/22/2024","2.719","2.736","2.784","2.693","0.18%"
"02/21/2024","2.714","2.674","2.714","2.637","2.73%"
"02/20/2024","2.642","2.677","2.682","2.629","-1.60%"
"02/19/2024","2.685","2.667","2.691","2.646","0.60%"
"02/16/2024","2.669","2.658","2.694","2.642","1.41%"
"02/15/2024","2.632","2.593","2.632","2.567","0.30%"
"02/14/2024","2.624","2.661","2.661","2.618","-1.69%"
"02/13/2024","2.669","2.635","2.682","2.590","1.64%"
"02/12/2024","2.626","2.623","2.641","2.593","-0.83%"
"02/09/2024","2.648","2.649","2.660","2.589","1.49%"
"02/08/2024","2.609","2.570","2.610","2.542","2.15%"
"02/07/2024","2.554","2.527","2.554","2.511","0.83%"
"02/06/2024","2.533","2.536","2.572","2.515","-1.25%"
"02/05/2024","2.565","2.532","2.576","2.518","3.05%"
"02/02/2024","2.489","2.441","2.508","2.403","4.27%"
"02/01/2024","2.387","2.416","2.457","2.365","0.25%"
"01/31/2024","2.381","2.427","2.469","2.376","-4.38%"
"01/30/2024","2.490","2.435","2.515","2.435","1.63%"
"01/29/2024","2.450","2.478","2.488","2.440","-2.78%"
"01/26/2024","2.520","2.501","2.536","2.471","0.04%"
"01/25/2024","2.519","2.602","2.633","2.513","-2.82%"
"01/24/2024","2.592","2.593","2.601","2.547","-1.11%"
"01/23/2024","2.621","2.575","2.622","2.571","2.06%"
"01/22/2024","2.568","2.579","2.590","2.550","-1.38%"
"01/19/2024","2.604","2.591","2.621","2.560","-0.23%"
"01/18/2024","2.610","2.583","2.617","2.569","1.91%"
"01/17/2024","2.561","2.531","2.574","2.485","4.11%"
"01/16/2024","2.460","2.461","2.472","2.417","0.57%"
"01/15/2024","2.446","2.442","2.477","2.417","2.13%"
"01/12/2024","2.395","2.443","2.453","2.380","-3.66%"
"01/11/2024","2.486","2.470","2.511","2.442","-0.52%"
"01/10/2024","2.499","2.458","2.501","2.428","0.93%"
"01/09/2024","2.476","2.468","2.479","2.437","2.57%"
"01/08/2024","2.414","2.473","2.502","2.403","-0.94%"
"01/05/2024","2.437","2.424","2.514","2.408","2.01%"
"01/04/2024","2.389","2.270","2.415","2.262","4.96%"
"01/03/2024","2.276","2.350","2.366","2.275","-1.98%"
"01/02/2024","2.322","2.317","2.350","2.297","4.22%"
"01/01/2024","2.228","2.189","2.228","2.228","-1.89%"
"12/29/2023","2.271","2.189","2.271","2.186","2.81%"
"12/28/2023","2.209","2.142","2.212","2.141","2.22%"
"12/27/2023","2.161","2.199","2.200","2.143","-0.14%"
"12/26/2023","2.164","2.244","2.164","2.164","0.00%"
"12/25/2023","2.164","2.244","2.164","2.164","-1.41%"
"12/22/2023","2.195","2.244","2.244","2.186","-1.39%"
"12/21/2023","2.226","2.245","2.249","2.206","-1.20%"
"12/20/2023","2.253","2.270","2.286","2.238","-2.09%"
"12/19/2023","2.301","2.354","2.371","2.293","-3.07%"
"12/18/2023","2.374","2.367","2.399","2.320","1.84%"
"12/15/2023","2.331","2.448","2.448","2.328","-3.48%"
"12/14/2023","2.415","2.364","2.448","2.335","-4.47%"
"12/13/2023","2.528","2.590","2.592","2.521","-2.39%"
"12/12/2023","2.590","2.566","2.607","2.558","-0.80%"
"12/11/2023","2.611","2.597","2.628","2.595","0.27%"
"12/08/2023","2.604","2.532","2.616","2.527","3.70%"
"12/07/2023","2.511","2.547","2.547","2.486","-0.71%"
"12/06/2023","2.529","2.562","2.590","2.529","-1.21%"
"12/05/2023","2.560","2.576","2.611","2.552","-3.14%"
"12/04/2023","2.643","2.645","2.668","2.607","1.61%"
"12/01/2023","2.601","2.766","2.766","2.599","-5.56%"
"11/30/2023","2.754","2.720","2.789","2.704","0.44%"
"11/29/2023","2.742","2.773","2.783","2.728","-2.97%"
"11/28/2023","2.826","2.872","2.895","2.824","-2.25%"
"11/27/2023","2.891","2.965","2.971","2.889","-2.76%"
"11/24/2023","2.973","2.984","2.992","2.962","0.64%"
"11/23/2023","2.954","2.914","2.960","2.890","2.32%"
"11/22/2023","2.887","2.906","2.906","2.845","0.49%"
"11/21/2023","2.873","2.900","2.905","2.864","-1.14%"
"11/20/2023","2.906","2.915","2.926","2.881","0.41%"
"11/18/2023","2.894","2.894","2.894","2.894","-0.45%"
"11/17/2023","2.907","2.872","2.909","2.828","0.41%"
"11/16/2023","2.895","2.960","2.965","2.879","-2.49%"
"11/15/2023","2.969","2.971","2.986","2.918","0.41%"
"11/14/2023","2.957","3.073","3.088","2.957","-3.74%"
"11/13/2023","3.072","3.078","3.101","3.043","2.13%"
"11/10/2023","3.008","3.046","3.091","3.042","0.00%"
"11/09/2023","3.008","3.008","3.027","2.991","0.97%"
"11/08/2023","2.979","3.003","3.023","2.972","-0.83%"
"11/07/2023","3.004","3.042","3.042","2.978","-0.66%"
"11/06/2023","3.024","2.964","3.025","2.963","3.35%"
"11/03/2023","2.926","3.006","3.009","2.914","-2.17%"
"11/02/2023","2.991","3.005","3.007","2.931","-1.12%"
"11/01/2023","3.025","3.099","3.109","3.018","-1.56%"
"10/31/2023","3.073","3.069","3.080","3.038","-0.55%"
"10/30/2023","3.090","3.075","3.118","3.057","-1.31%"
"10/27/2023","3.131","3.157","3.168","3.119","-0.92%"
"10/26/2023","3.160","3.241","3.245","3.143","-1.56%"
"10/25/2023","3.210","3.169","3.219","3.154","1.52%"
"10/24/2023","3.162","3.155","3.170","3.115","-0.78%"
"10/23/2023","3.187","3.232","3.262","3.183","-0.65%"
"10/20/2023","3.208","3.232","3.255","3.199","-2.08%"
"10/19/2023","3.276","3.307","3.315","3.255","-0.21%"
"10/18/2023","3.283","3.273","3.289","3.237","0.83%"
"10/17/2023","3.256","3.184","3.263","3.172","3.01%"
"10/16/2023","3.161","3.174","3.181","3.152","0.78%"
"10/14/2023","3.136","3.136","3.136","3.136","-0.05%"
"10/13/2023","3.138","3.177","3.177","3.100","-0.54%"
"10/12/2023","3.155","3.078","3.161","3.066","2.44%"
"10/11/2023","3.080","3.150","3.151","3.056","-1.31%"
"10/10/2023","3.121","3.145","3.175","3.117","-0.54%"
"10/09/2023","3.138","3.195","3.224","3.134","-2.55%"
"10/06/2023","3.220","3.250","3.281","3.219","-0.37%"
"10/05/2023","3.232","3.255","3.282","3.226","-0.89%"
"10/04/2023","3.261","3.324","3.324","3.259","0.15%"
"10/03/2023","3.256","3.265","3.289","3.237","0.37%"
"10/02/2023","3.244","3.239","3.254","3.216","0.93%"
"09/29/2023","3.214","3.287","3.289","3.192","-4.12%"
"09/28/2023","3.352","3.269","3.366","3.256","3.78%"
"09/27/2023","3.230","3.200","3.232","3.165","1.10%"
"09/26/2023","3.195","3.209","3.210","3.160","0.66%"
"09/25/2023","3.174","3.168","3.213","3.156","0.51%"
"09/22/2023","3.158","3.151","3.166","3.099","0.00%"
"09/21/2023","3.158","3.172","3.197","3.147","1.28%"
"09/20/2023","3.118","3.154","3.161","3.118","-1.14%"
"09/19/2023","3.154","3.152","3.163","3.115","0.51%"
"09/18/2023","3.138","3.122","3.140","3.107","1.52%"
"09/15/2023","3.091","3.054","3.097","3.053","1.98%"
"09/14/2023","3.031","3.104","3.108","3.012","-2.29%"
"09/13/2023","3.102","3.090","3.124","3.083","1.17%"
"09/12/2023","3.066","3.060","3.067","3.034","0.62%"
"09/11/2023","3.047","3.045","3.057","3.027","1.04%"
"09/09/2023","3.016","3.016","3.016","3.016","-0.08%"
"09/08/2023","3.018","3.030","3.034","2.999","-0.63%"
"09/07/2023","3.037","3.075","3.079","3.033","-1.43%"
"09/06/2023","3.081","3.049","3.085","3.021","2.02%"
"09/05/2023","3.020","3.023","3.024","2.993","0.67%"
"09/04/2023","3.000","2.974","3.007","2.973","1.87%"
"09/01/2023","2.945","2.905","2.949","2.858","2.04%"
"08/31/2023","2.886","2.984","2.984","2.871","-2.80%"
"08/30/2023","2.969","3.020","3.030","2.963","0.88%"
"08/29/2023","2.943","2.967","3.007","2.938","-1.90%"
"08/28/2023","3.000","3.006","3.035","2.984","0.03%"
"08/25/2023","2.999","2.964","3.009","2.938","2.01%"
"08/24/2023","2.940","2.894","2.954","2.873","0.20%"
"08/23/2023","2.934","3.066","3.068","2.932","-4.59%"
"08/22/2023","3.075","3.122","3.127","3.070","-1.88%"
"08/21/2023","3.134","3.069","3.136","3.049","2.79%"
"08/18/2023","3.049","3.037","3.062","3.014","-2.06%"
"08/17/2023","3.113","3.113","3.117","3.086","1.17%"
"08/16/2023","3.077","3.085","3.103","3.057","-0.74%"
"08/15/2023","3.100","3.094","3.161","3.091","1.77%"
"08/14/2023","3.046","3.046","3.061","3.009","0.26%"
"08/11/2023","3.038","3.001","3.043","2.974","2.32%"
"08/10/2023","2.969","2.952","2.971","2.928","1.30%"
"08/09/2023","2.931","2.912","2.951","2.896","0.51%"
"08/08/2023","2.916","2.963","2.964","2.882","-3.12%"
"08/07/2023","3.010","2.981","3.061","2.958","0.50%"
"08/04/2023","2.995","3.066","3.070","2.983","-0.20%"
"08/03/2023","3.001","3.009","3.024","2.973","0.74%"
"08/02/2023","2.979","2.981","2.999","2.941","-0.87%"
"08/01/2023","3.005","2.948","3.011","2.943","1.73%"
"07/31/2023","2.954","2.992","3.000","2.941","0.48%"
"07/28/2023","2.940","3.008","3.010","2.898","0.75%"
"07/27/2023","2.918","2.932","2.971","2.875","-1.35%"
"07/26/2023","2.958","2.914","2.963","2.905","1.96%"
"07/25/2023","2.901","2.922","2.926","2.892","0.59%"
"07/24/2023","2.884","2.938","2.950","2.868","-1.38%"
"07/22/2023","2.924","2.924","2.924","2.924","-0.09%"
"07/21/2023","2.927","2.954","2.971","2.919","-0.81%"
"07/20/2023","2.951","2.903","2.960","2.894","1.79%"
"07/19/2023","2.899","2.806","2.902","2.783","1.51%"
"07/18/2023","2.856","2.967","2.974","2.843","-4.70%"
"07/17/2023","2.997","2.998","3.029","2.967","-0.60%"
"07/14/2023","3.015","3.003","3.020","2.981","1.01%"
"07/13/2023","2.985","3.056","3.056","2.958","-2.99%"
"07/12/2023","3.077","3.152","3.172","3.075","-3.30%"
"07/11/2023","3.182","3.131","3.185","3.115","1.43%"
