"Date","Price","Open","High","Low","Change %"
"12/31/2024","3.378","3.378","3.378","3.378","-0.03%"
"12/30/2024","3.379","3.398","3.410","3.368","-0.38%"
"12/27/2024","3.392","3.381","3.423","3.374","0.85%"
"12/24/2024","3.364","3.364","3.364","3.364","0.55%"
"12/23/2024","3.345","3.348","3.354","3.317","1.38%"
"12/20/2024","3.299","3.325","3.347","3.300","-0.62%"
"12/19/2024","3.320","3.310","3.350","3.298","1.79%"
"12/18/2024","3.261","3.248","3.277","3.248","0.68%"
"12/17/2024","3.240","3.267","3.288","3.231","-0.38%"
"12/16/2024","3.252","3.236","3.256","3.230","0.54%"
"12/13/2024","3.234","3.175","3.244","3.175","1.75%"
"12/12/2024","3.179","3.115","3.198","3.097","3.08%"
"12/11/2024","3.084","3.068","3.092","3.049","0.24%"
"12/10/2024","3.076","3.085","3.098","3.056","0.44%"
"12/09/2024","3.063","3.046","3.067","3.037","0.15%"
"12/06/2024","3.059","3.061","3.075","3.042","-0.24%"
"12/05/2024","3.066","3.064","3.084","3.042","-0.16%"
"12/04/2024","3.071","3.094","3.118","3.065","0.13%"
"12/03/2024","3.067","3.089","3.100","3.059","-0.55%"
"12/02/2024","3.084","3.101","3.102","3.060","-0.64%"
"11/29/2024","3.104","3.151","3.159","3.107","-1.46%"
"11/28/2024","3.150","3.185","3.204","3.150","-1.45%"
"11/27/2024","3.197","3.229","3.244","3.196","-1.74%"
"11/26/2024","3.253","3.266","3.267","3.234","-0.25%"
"11/25/2024","3.261","3.288","3.313","3.243","-1.09%"
"11/22/2024","3.297","3.364","3.375","3.280","-1.85%"
"11/21/2024","3.359","3.398","3.402","3.337","-0.07%"
"11/20/2024","3.362","3.378","3.404","3.360","0.21%"
"11/19/2024","3.355","3.346","3.372","3.302","-0.70%"
"11/18/2024","3.378","3.375","3.429","3.374","0.27%"
"11/15/2024","3.369","3.379","3.391","3.344","0.22%"
"11/14/2024","3.362","3.444","3.453","3.363","-1.60%"
"11/13/2024","3.416","3.458","3.460","3.400","-0.18%"
"11/12/2024","3.422","3.402","3.425","3.356","1.30%"
"11/11/2024","3.378","3.388","3.423","3.374","-1.47%"
"11/08/2024","3.428","3.469","3.479","3.423","-2.27%"
"11/07/2024","3.508","3.488","3.577","3.479","0.85%"
"11/06/2024","3.478","3.404","3.511","3.404","1.24%"
"11/05/2024","3.436","3.433","3.477","3.421","0.66%"
"11/04/2024","3.414","3.437","3.459","3.403","-0.96%"
"11/01/2024","3.447","3.430","3.458","3.399","0.79%"
"10/31/2024","3.420","3.459","3.488","3.412","0.12%"
"10/30/2024","3.415","3.362","3.433","3.344","0.74%"
"10/29/2024","3.391","3.342","3.405","3.342","1.45%"
"10/28/2024","3.342","3.397","3.397","3.315","-0.59%"
"10/25/2024","3.362","3.319","3.363","3.312","1.08%"
"10/24/2024","3.326","3.345","3.353","3.305","-1.60%"
"10/23/2024","3.380","3.391","3.403","3.374","-0.50%"
"10/22/2024","3.397","3.399","3.408","3.358","0.89%"
"10/21/2024","3.367","3.256","3.370","3.256","3.66%"
"10/18/2024","3.248","3.296","3.297","3.235","-0.92%"
"10/17/2024","3.278","3.285","3.305","3.258","0.34%"
"10/16/2024","3.267","3.283","3.296","3.258","-1.27%"
"10/15/2024","3.309","3.329","3.344","3.306","-1.87%"
"10/14/2024","3.372","3.362","3.387","3.354","-0.24%"
"10/11/2024","3.380","3.342","3.411","3.342","0.87%"
"10/10/2024","3.351","3.389","3.390","3.350","-0.59%"
"10/09/2024","3.371","3.339","3.374","3.338","0.45%"
"10/08/2024","3.356","3.370","3.390","3.355","-0.36%"
"10/07/2024","3.368","3.338","3.376","3.335","1.14%"
"10/04/2024","3.330","3.316","3.365","3.303","1.06%"
"10/03/2024","3.295","3.280","3.316","3.280","1.10%"
"10/02/2024","3.259","3.221","3.281","3.221","1.56%"
"10/01/2024","3.209","3.284","3.284","3.175","-2.99%"
"09/30/2024","3.308","3.312","3.349","3.286","-0.03%"
"09/27/2024","3.309","3.304","3.325","3.266","-0.72%"
"09/26/2024","3.333","3.342","3.351","3.290","-0.86%"
"09/25/2024","3.362","3.306","3.367","3.292","1.66%"
"09/24/2024","3.307","3.323","3.368","3.298","-0.84%"
"09/23/2024","3.335","3.356","3.361","3.325","-0.77%"
"09/20/2024","3.361","3.350","3.375","3.331","0.24%"
"09/19/2024","3.353","3.360","3.378","3.341","0.03%"
"09/18/2024","3.352","3.294","3.357","3.292","1.95%"
"09/17/2024","3.288","3.261","3.291","3.243","0.55%"
"09/16/2024","3.270","3.286","3.304","3.268","-0.79%"
"09/13/2024","3.296","3.287","3.312","3.277","-0.42%"
"09/12/2024","3.310","3.302","3.320","3.264","0.73%"
"09/11/2024","3.286","3.289","3.322","3.263","-0.87%"
"09/10/2024","3.315","3.348","3.359","3.314","-0.78%"
"09/09/2024","3.341","3.379","3.404","3.334","0.06%"
"09/06/2024","3.339","3.329","3.360","3.294","-0.30%"
"09/05/2024","3.349","3.365","3.391","3.334","-0.56%"
"09/04/2024","3.368","3.417","3.423","3.358","-2.04%"
"09/03/2024","3.438","3.484","3.502","3.417","-1.43%"
"09/02/2024","3.488","3.504","3.511","3.482","0.72%"
"08/30/2024","3.463","3.446","3.468","3.418","0.49%"
"08/29/2024","3.446","3.441","3.456","3.395","0.26%"
"08/28/2024","3.437","3.435","3.442","3.400","-0.26%"
"08/27/2024","3.446","3.386","3.465","3.386","1.86%"
"08/26/2024","3.383","3.351","3.398","3.351","0.86%"
"08/23/2024","3.354","3.382","3.396","3.346","-0.89%"
"08/22/2024","3.384","3.342","3.387","3.327","1.29%"
"08/21/2024","3.341","3.376","3.381","3.339","-0.89%"
"08/20/2024","3.371","3.402","3.402","3.366","-1.11%"
"08/19/2024","3.409","3.395","3.418","3.365","-0.32%"
"08/16/2024","3.420","3.387","3.423","3.368","0.26%"
"08/15/2024","3.411","3.343","3.414","3.336","1.85%"
"08/14/2024","3.349","3.357","3.389","3.339","-0.42%"
"08/13/2024","3.363","3.412","3.415","3.352","-1.41%"
"08/12/2024","3.411","3.426","3.433","3.404","-0.29%"
"08/09/2024","3.421","3.444","3.445","3.401","-1.07%"
"08/08/2024","3.458","3.436","3.475","3.419","0.17%"
"08/07/2024","3.452","3.393","3.467","3.392","1.83%"
"08/06/2024","3.390","3.413","3.424","3.352","-0.56%"
"08/05/2024","3.409","3.362","3.411","3.341","0.89%"
"08/03/2024","3.379","3.379","3.379","3.379","0.09%"
"08/02/2024","3.376","3.404","3.412","3.346","-0.94%"
"08/01/2024","3.408","3.421","3.445","3.391","-0.61%"
"07/31/2024","3.429","3.475","3.477","3.427","-1.78%"
"07/30/2024","3.491","3.496","3.511","3.467","-0.34%"
"07/29/2024","3.503","3.536","3.538","3.478","-1.35%"
"07/26/2024","3.551","3.594","3.613","3.540","-0.34%"
"07/25/2024","3.563","3.589","3.598","3.554","-0.56%"
"07/24/2024","3.583","3.549","3.589","3.536","1.10%"
"07/23/2024","3.544","3.573","3.576","3.533","-0.78%"
"07/22/2024","3.572","3.543","3.572","3.530","0.28%"
"07/19/2024","3.562","3.509","3.564","3.504","1.34%"
"07/18/2024","3.515","3.502","3.534","3.486","0.49%"
"07/17/2024","3.498","3.493","3.516","3.482","-0.14%"
"07/16/2024","3.503","3.519","3.520","3.490","-0.79%"
"07/15/2024","3.531","3.570","3.576","3.528","-0.98%"
"07/12/2024","3.566","3.564","3.589","3.546","0.54%"
"07/11/2024","3.547","3.596","3.622","3.526","-1.50%"
"07/10/2024","3.601","3.618","3.621","3.576","-1.75%"
"07/09/2024","3.665","3.619","3.672","3.615","1.92%"
"07/08/2024","3.596","3.667","3.668","3.592","-1.37%"
"07/05/2024","3.646","3.673","3.681","3.627","-1.38%"
"07/04/2024","3.697","3.700","3.709","3.685","0.38%"
"07/03/2024","3.683","3.721","3.742","3.663","-1.92%"
"07/02/2024","3.755","3.756","3.788","3.723","-0.29%"
"07/01/2024","3.766","3.700","3.771","3.700","1.29%"
"06/28/2024","3.718","3.698","3.747","3.693","0.46%"
"06/27/2024","3.701","3.685","3.715","3.680","0.63%"
"06/26/2024","3.678","3.608","3.679","3.608","1.88%"
"06/25/2024","3.610","3.591","3.636","3.579","-0.33%"
"06/24/2024","3.622","3.615","3.626","3.593","-0.39%"
"06/21/2024","3.636","3.610","3.641","3.572","0.36%"
"06/20/2024","3.623","3.638","3.657","3.618","-0.06%"
"06/19/2024","3.625","3.585","3.633","3.582","1.03%"
"06/18/2024","3.588","3.614","3.639","3.572","-1.37%"
"06/17/2024","3.638","3.602","3.648","3.581","0.55%"
"06/14/2024","3.618","3.654","3.654","3.595","-1.17%"
"06/13/2024","3.661","3.671","3.687","3.635","0.27%"
"06/12/2024","3.651","3.711","3.735","3.636","-2.22%"
"06/11/2024","3.734","3.747","3.823","3.732","-0.64%"
"06/10/2024","3.758","3.685","3.767","3.680","2.73%"
"06/07/2024","3.658","3.603","3.681","3.596","1.87%"
"06/06/2024","3.591","3.563","3.621","3.558","1.30%"
