Date,Private final consumption,Gross fixed capital formation_x,Government final consumption,Imports of goods and service,Exports of goods and services,Gross domestic product at market prices,Net value added of Non financial corporations (growth rate),Gross entrepreneurial income of Non financial corporations,Debt securities and loans of Non financial corporations as a ratio of GDP,Debt of Non financial corporations as a ratio of total financial liabilities,Total financial assets of Non financial corporations as a ratio of total financial assets,Total financial liabilities of Non financial corporations as a ratio of total financial assets,Gross fixed capital formation of Non financial corporations as a ratio of gross value added,Loans granted to households as a ratio of gross disposable income,Gross saving of households as a ratio of adjusted gross disposable income,Gross disposable income of households (growth rate),Total financial assets of households as a ratio of total financial assets,Loans granted to households as a ratio of total financial assets,Gross fixed capital formation of households as a ratio of adjusted gross disposable income,Final consumption expenditure of households (growth rate),Government deficit(-) or surplus(+) (as % of GDP),Government primary deficit(-) or surplus(+) (as % of GDP),Government debt (consolidated) (as % of GDP),Gross fixed capital formation_y
2006,1.504310885962834,-0.7567804216462415,-0.3653434162637969,7.58446709659184,12.46892351539357,1.6250351021745324,4.5539404928541805,45.96367574128678,91.90511786659282,44.931314038113776,5.174643491470039,5.205372282962797,27.71018432689472,119.1908037097752,8.449607597011195,3.2660605535320686,5.361305332201939,9.852586099232914,8.927924025935956,5.109211201588093,-4.167015,-1.384514,73.659949,-0.7567804216462415
2007,2.4791158520262924,3.0862188135686752,0.5483376504632487,5.613993524545524,6.47709719114602,2.506579377325901,9.384208623868597,45.40492106939247,97.99016261372778,44.89159545355588,9.04954119086898,7.39132856087385,28.79357960800297,124.33476168685928,7.358126472800021,4.791334019853477,3.903102960025268,9.648374261823642,8.372888859219806,5.976032998200731,-2.87503,0.09112,72.696791,3.0862188135686752
2008,1.4126919302153371,0.4234911870127922,0.5404417568344977,2.2489058544335583,-0.4205360358303656,0.319247306931758,0.2065780569558306,41.6994573887568,107.04429542051612,49.742260675569234,6.463194323488122,6.180477763406342,29.554739113824247,125.08666028445974,7.050611577139635,3.9269633087896993,1.5834724482959133,4.229624308847815,7.470924222334552,4.233627065480006,-3.810717,-0.699152,75.492455,0.4234911870127922
2009,-2.367241397572195,-7.538294251381972,2.780716604329947,-9.503828670468897,-10.068654407275124,-3.1220782453370566,-0.0416155564397335,42.23962045918964,112.11069120050593,48.32113913885632,-0.0495194570599321,1.5792861466144337,26.01638135274425,126.34850886868584,11.542032933645892,0.5292786249485815,3.214158690183837,1.6180399002756172,6.431036256635596,-4.254857406135503,-9.874219,-6.892685,87.576988,-7.538294251381972
2010,2.276800349969954,-1.1255263524385215,-1.227380858825533,7.789012585093968,9.17765235125312,1.7376247692777236,3.635038550496384,48.51059287372816,110.7974764265861,49.26315744536232,4.3105647455930525,2.997383726743072,22.74627267244064,126.1199191844284,9.168257043187491,1.471211213166157,1.967344263549292,1.513164627142158,6.416403768942749,4.196554279504494,-11.418356,-8.501927,99.884633,-1.1255263524385215
2011,-3.691399823893038,-12.542852913714189,-3.791894407464724,-6.195777889096609,6.8834238491565225,-1.7135278132149434,-2.500078954125795,43.10823057143756,114.07483572820225,49.623434024897406,0.3803745308624051,1.184579080244379,22.664453892041088,125.69218444976218,8.870250235937846,-2.0889230178708584,2.4695367099696304,-2.4075927500362377,5.891010371844388,-2.001813453358081,-7.726948,-3.461019,114.023753,-12.542852913714189
2012,-5.351904647674999,-16.684877761154326,-3.539480170789522,-6.297527113310364,3.088405022729024,-4.050902319037908,-4.123288930010749,45.21796072163757,120.08561235917556,49.92741064826825,-0.4961698958112283,-0.2331018334213755,20.495068824598885,122.83385495177832,9.81590936151322,-2.684395267035677,-0.0384216273644459,-4.78224566074321,5.119737505543907,-3.545605692394471,-6.202429,-1.37452,128.603443,-16.684877761154326
2013,-1.1589085851690828,-4.674064837826764,-2.153157911711845,4.707323123572671,7.259668943512509,-0.9841067316943451,3.7013350582503657,46.788111797621184,115.4861694417814,48.117641782567766,-0.8680386245676966,-1.078488001931633,19.673698341565814,119.19358211657595,9.035818202594283,-1.0510004794977656,0.0784079004701207,-3.7499771299770823,4.34071747211063,-0.2827004484716067,-5.213575,-0.444703,130.840788,-4.674064837826764
2014,2.336279171664124,2.2102964674933334,-0.4586822573820814,8.008046581997785,4.303539338963214,0.7413911750484781,3.121269608590227,46.94574657590624,103.89382243535591,48.44349537722516,0.1902118284731589,-0.6261599895471314,21.776488950803937,114.56841007103792,6.580666598554844,-0.0773126982313021,0.0635811960161013,-3.585607406659139,4.138736183314529,2.586180944961036,-7.362863,-2.550485,132.453185,2.2102964674933334
2015,1.76892041284753,6.009229135794336,0.7396407384047787,8.06564283065223,6.252250324246278,1.5897978649057176,6.109620497498125,47.1471126329325,102.6951060759108,46.84976880027587,0.1970325640557839,-0.0376874049438194,22.404953025200864,107.488247486171,7.467914366038104,3.683758354687794,0.8310335584783909,-2.2032601056601835,4.238767822157065,2.5458479204173656,-4.473984,0.059534,131.023224,6.009229135794336
