,Date,Inflation
612,2000-01-31,2.1
613,2000-02-29,1.8
614,2000-03-31,1.5
615,2000-04-30,2.1
616,2000-05-31,2.5
617,2000-06-30,2.9
618,2000-07-31,3.3
619,2000-08-31,3.5
620,2000-09-30,3.4
621,2000-10-31,3.5
622,2000-11-30,3.7
623,2000-12-31,3.9
624,2001-01-31,4.4
625,2001-02-28,4.8
626,2001-03-31,5.1
627,2001-04-30,4.5
628,2001-05-31,4.8
629,2001-06-30,4.5
630,2001-07-31,4.3
631,2001-08-31,4.1
632,2001-09-30,4.1
633,2001-10-31,4.1
634,2001-11-30,4.0
635,2001-12-31,3.8
636,2002-01-31,3.6
637,2002-02-28,3.3
638,2002-03-31,3.3
639,2002-04-30,3.5
640,2002-05-31,3.3
641,2002-06-30,3.4
642,2002-07-31,3.5
643,2002-08-31,3.7
644,2002-09-30,3.7
645,2002-10-31,4.0
646,2002-11-30,4.0
647,2002-12-31,4.0
648,2003-01-31,4.0
649,2003-02-28,4.1
650,2003-03-31,3.7
651,2003-04-30,3.7
652,2003-05-31,3.6
653,2003-06-30,3.3
654,2003-07-31,2.8
655,2003-08-31,2.8
656,2003-09-30,3.0
657,2003-10-31,2.9
658,2003-11-30,2.5
659,2003-12-31,2.4
660,2004-01-31,2.2
661,2004-02-29,2.1
662,2004-03-31,2.3
663,2004-04-30,2.3
664,2004-05-31,2.4
665,2004-06-30,2.7
666,2004-07-31,2.8
667,2004-08-31,2.4
668,2004-09-30,2.1
669,2004-10-31,2.2
670,2004-11-30,2.5
671,2004-12-31,2.5
672,2005-01-31,2.0
673,2005-02-28,2.1
674,2005-03-31,2.2
675,2005-04-30,2.1
676,2005-05-31,1.8
677,2005-06-30,1.6
678,2005-07-31,2.1
679,2005-08-31,2.6
680,2005-09-30,2.9
681,2005-10-31,2.7
682,2005-11-30,2.6
683,2005-12-31,2.6
684,2006-01-31,2.7
685,2006-02-28,3.0
686,2006-03-31,3.9
687,2006-04-30,3.7
688,2006-05-31,3.7
689,2006-06-30,3.7
