,Date,IR STR
0,2019-10-01,-0.549
1,2019-10-02,-0.551
2,2019-10-03,-0.555
3,2019-10-04,-0.553
4,2019-10-07,-0.554
5,2019-10-08,-0.552
6,2019-10-09,-0.552
7,2019-10-10,-0.552
8,2019-10-11,-0.55
9,2019-10-14,-0.549
10,2019-10-15,-0.551
11,2019-10-16,-0.548
12,2019-10-17,-0.548
13,2019-10-18,-0.547
14,2019-10-21,-0.549
15,2019-10-22,-0.548
16,2019-10-23,-0.547
17,2019-10-24,-0.548
18,2019-10-25,-0.548
19,2019-10-28,-0.548
20,2019-10-29,-0.545
21,2019-10-30,-0.545
22,2019-10-31,-0.543
23,2019-11-01,-0.549
24,2019-11-04,-0.536
25,2019-11-05,-0.541
26,2019-11-06,-0.539
27,2019-11-07,-0.537
28,2019-11-08,-0.54
29,2019-11-11,-0.541
30,2019-11-12,-0.537
31,2019-11-13,-0.531
32,2019-11-14,-0.536
33,2019-11-15,-0.541
34,2019-11-18,-0.541
35,2019-11-19,-0.542
36,2019-11-20,-0.511
37,2019-11-21,-0.542
38,2019-11-22,-0.536
39,2019-11-25,-0.533
40,2019-11-26,-0.533
41,2019-11-27,-0.533
42,2019-11-28,-0.531
43,2019-11-29,-0.532
44,2019-12-02,-0.541
45,2019-12-03,-0.539
46,2019-12-04,-0.54
47,2019-12-05,-0.54
48,2019-12-06,-0.541
49,2019-12-09,-0.541
50,2019-12-10,-0.544
51,2019-12-11,-0.544
52,2019-12-12,-0.544
53,2019-12-13,-0.543
54,2019-12-16,-0.543
55,2019-12-17,-0.536
56,2019-12-18,-0.54
57,2019-12-19,-0.54
58,2019-12-20,-0.54
59,2019-12-23,-0.545
60,2019-12-24,-0.549
61,2019-12-27,-0.542
62,2019-12-30,-0.541
63,2019-12-31,-0.531
64,2020-01-02,-0.539
65,2020-01-03,-0.537
66,2020-01-06,-0.539
67,2020-01-07,-0.54
68,2020-01-08,-0.536
69,2020-01-09,-0.539
70,2020-01-10,-0.538
71,2020-01-13,-0.537
72,2020-01-14,-0.538
73,2020-01-15,-0.538
74,2020-01-16,-0.536
75,2020-01-17,-0.537
76,2020-01-20,-0.538
77,2020-01-21,-0.535
78,2020-01-22,-0.536
79,2020-01-23,-0.537
80,2020-01-24,-0.537
81,2020-01-27,-0.538
82,2020-01-28,-0.536
83,2020-01-29,-0.54
84,2020-01-30,-0.539
85,2020-01-31,-0.539
86,2020-02-03,-0.537
87,2020-02-04,-0.536
88,2020-02-05,-0.536
89,2020-02-06,-0.535
90,2020-02-07,-0.537
91,2020-02-10,-0.537
92,2020-02-11,-0.541
93,2020-02-12,-0.541
94,2020-02-13,-0.54
95,2020-02-14,-0.538
96,2020-02-17,-0.541
97,2020-02-18,-0.536
98,2020-02-19,-0.538
99,2020-02-20,-0.538
100,2020-02-21,-0.539
101,2020-02-24,-0.54
102,2020-02-25,-0.539
103,2020-02-26,-0.539
104,2020-02-27,-0.538
105,2020-02-28,-0.54
106,2020-03-02,-0.542
107,2020-03-03,-0.542
108,2020-03-04,-0.541
109,2020-03-05,-0.54
110,2020-03-06,-0.541
111,2020-03-09,-0.539
112,2020-03-10,-0.541
113,2020-03-11,-0.543
114,2020-03-12,-0.54
115,2020-03-13,-0.541
116,2020-03-16,-0.536
117,2020-03-17,-0.531
118,2020-03-18,-0.529
119,2020-03-19,-0.526
120,2020-03-20,-0.524
121,2020-03-23,-0.525
122,2020-03-24,-0.527
123,2020-03-25,-0.527
124,2020-03-26,-0.529
125,2020-03-27,-0.53
126,2020-03-30,-0.528
127,2020-03-31,-0.522
128,2020-04-01,-0.527
129,2020-04-02,-0.534
130,2020-04-03,-0.539
131,2020-04-06,-0.533
132,2020-04-07,-0.533
133,2020-04-08,-0.535
134,2020-04-09,-0.536
135,2020-04-14,-0.534
136,2020-04-15,-0.535
137,2020-04-16,-0.534
138,2020-04-17,-0.538
139,2020-04-20,-0.541
140,2020-04-21,-0.541
141,2020-04-22,-0.539
142,2020-04-23,-0.539
143,2020-04-24,-0.539
144,2020-04-27,-0.539
145,2020-04-28,-0.541
146,2020-04-29,-0.543
147,2020-04-30,-0.531
148,2020-05-04,-0.543
149,2020-05-05,-0.539
150,2020-05-06,-0.542
151,2020-05-07,-0.541
152,2020-05-08,-0.541
153,2020-05-11,-0.544
154,2020-05-12,-0.543
155,2020-05-13,-0.542
156,2020-05-14,-0.541
157,2020-05-15,-0.543
158,2020-05-18,-0.542
159,2020-05-19,-0.542
160,2020-05-20,-0.545
161,2020-05-21,-0.545
162,2020-05-22,-0.539
163,2020-05-25,-0.54
164,2020-05-26,-0.541
165,2020-05-27,-0.541
166,2020-05-28,-0.541
167,2020-05-29,-0.54
168,2020-06-01,-0.546
169,2020-06-02,-0.542
170,2020-06-03,-0.543
171,2020-06-04,-0.545
172,2020-06-05,-0.544
173,2020-06-08,-0.547
174,2020-06-09,-0.542
175,2020-06-10,-0.548
176,2020-06-11,-0.547
177,2020-06-12,-0.546
178,2020-06-15,-0.547
179,2020-06-16,-0.546
180,2020-06-17,-0.544
181,2020-06-18,-0.544
182,2020-06-19,-0.546
183,2020-06-22,-0.545
184,2020-06-23,-0.544
185,2020-06-24,-0.546
186,2020-06-25,-0.547
187,2020-06-26,-0.547
188,2020-06-29,-0.545
189,2020-06-30,-0.555
190,2020-07-01,-0.548
191,2020-07-02,-0.548
192,2020-07-03,-0.549
193,2020-07-06,-0.55
194,2020-07-07,-0.55
195,2020-07-08,-0.549
196,2020-07-09,-0.549
197,2020-07-10,-0.549
198,2020-07-13,-0.552
199,2020-07-14,-0.551
200,2020-07-15,-0.551
201,2020-07-16,-0.541
202,2020-07-17,-0.551
203,2020-07-20,-0.551
204,2020-07-21,-0.549
205,2020-07-22,-0.55
206,2020-07-23,-0.55
207,2020-07-24,-0.551
208,2020-07-27,-0.552
209,2020-07-28,-0.551
210,2020-07-29,-0.553
211,2020-07-30,-0.552
212,2020-07-31,-0.55
213,2020-08-03,-0.552
214,2020-08-04,-0.551
215,2020-08-05,-0.552
216,2020-08-06,-0.553
217,2020-08-07,-0.553
218,2020-08-10,-0.554
219,2020-08-11,-0.552
220,2020-08-12,-0.552
221,2020-08-13,-0.552
222,2020-08-14,-0.549
223,2020-08-17,-0.553
224,2020-08-18,-0.554
225,2020-08-19,-0.553
226,2020-08-20,-0.553
227,2020-08-21,-0.554
228,2020-08-24,-0.552
229,2020-08-25,-0.553
230,2020-08-26,-0.554
231,2020-08-27,-0.552
232,2020-08-28,-0.552
233,2020-08-31,-0.557
234,2020-09-01,-0.554
235,2020-09-02,-0.555
236,2020-09-03,-0.551
237,2020-09-04,-0.552
238,2020-09-07,-0.551
239,2020-09-08,-0.553
240,2020-09-09,-0.554
241,2020-09-10,-0.554
242,2020-09-11,-0.553
243,2020-09-14,-0.555
244,2020-09-15,-0.551
245,2020-09-16,-0.556
246,2020-09-17,-0.553
247,2020-09-18,-0.552
248,2020-09-21,-0.552
249,2020-09-22,-0.552
250,2020-09-23,-0.551
251,2020-09-24,-0.553
252,2020-09-25,-0.554
253,2020-09-28,-0.555
254,2020-09-29,-0.556
255,2020-09-30,-0.57
256,2020-10-01,-0.558
257,2020-10-02,-0.555
258,2020-10-05,-0.555
259,2020-10-06,-0.556
260,2020-10-07,-0.555
261,2020-10-08,-0.553
262,2020-10-09,-0.553
263,2020-10-12,-0.556
264,2020-10-13,-0.555
265,2020-10-14,-0.556
266,2020-10-15,-0.556
267,2020-10-16,-0.553
268,2020-10-19,-0.553
269,2020-10-20,-0.553
270,2020-10-21,-0.552
271,2020-10-22,-0.554
272,2020-10-23,-0.553
273,2020-10-26,-0.552
274,2020-10-27,-0.554
275,2020-10-28,-0.555
276,2020-10-29,-0.552
277,2020-10-30,-0.557
278,2020-11-02,-0.555
279,2020-11-03,-0.553
280,2020-11-04,-0.558
281,2020-11-05,-0.556
282,2020-11-06,-0.558
283,2020-11-09,-0.558
284,2020-11-10,-0.557
285,2020-11-11,-0.558
286,2020-11-12,-0.548
287,2020-11-13,-0.556
288,2020-11-16,-0.558
289,2020-11-17,-0.557
290,2020-11-18,-0.557
291,2020-11-19,-0.557
292,2020-11-20,-0.557
293,2020-11-23,-0.557
294,2020-11-24,-0.556
295,2020-11-25,-0.554
296,2020-11-26,-0.556
297,2020-11-27,-0.557
298,2020-11-30,-0.56
299,2020-12-01,-0.557
300,2020-12-02,-0.556
301,2020-12-03,-0.556
302,2020-12-04,-0.555
303,2020-12-07,-0.555
304,2020-12-08,-0.559
305,2020-12-09,-0.556
306,2020-12-10,-0.556
307,2020-12-11,-0.557
308,2020-12-14,-0.558
309,2020-12-15,-0.551
310,2020-12-16,-0.557
311,2020-12-17,-0.556
312,2020-12-18,-0.558
313,2020-12-21,-0.557
314,2020-12-22,-0.558
315,2020-12-23,-0.559
316,2020-12-24,-0.555
317,2020-12-28,-0.553
318,2020-12-29,-0.557
319,2020-12-30,-0.555
320,2020-12-31,-0.583
321,2021-01-04,-0.566
322,2021-01-05,-0.563
323,2021-01-06,-0.566
324,2021-01-07,-0.565
325,2021-01-08,-0.562
326,2021-01-11,-0.564
327,2021-01-12,-0.563
328,2021-01-13,-0.562
329,2021-01-14,-0.564
330,2021-01-15,-0.566
331,2021-01-18,-0.565
332,2021-01-19,-0.564
333,2021-01-20,-0.564
334,2021-01-21,-0.562
335,2021-01-22,-0.561
336,2021-01-25,-0.564
337,2021-01-26,-0.558
338,2021-01-27,-0.563
339,2021-01-28,-0.561
340,2021-01-29,-0.564
341,2021-02-01,-0.566
342,2021-02-02,-0.564
343,2021-02-03,-0.558
344,2021-02-04,-0.564
345,2021-02-05,-0.565
346,2021-02-08,-0.563
347,2021-02-09,-0.564
348,2021-02-10,-0.564
349,2021-02-11,-0.565
350,2021-02-12,-0.564
351,2021-02-15,-0.563
352,2021-02-16,-0.564
353,2021-02-17,-0.563
354,2021-02-18,-0.562
355,2021-02-19,-0.563
356,2021-02-22,-0.564
357,2021-02-23,-0.565
358,2021-02-24,-0.564
359,2021-02-25,-0.564
360,2021-02-26,-0.566
361,2021-03-01,-0.563
362,2021-03-02,-0.565
363,2021-03-03,-0.565
364,2021-03-04,-0.565
365,2021-03-05,-0.562
366,2021-03-08,-0.558
367,2021-03-09,-0.56
368,2021-03-10,-0.562
369,2021-03-11,-0.561
370,2021-03-12,-0.562
371,2021-03-15,-0.564
372,2021-03-16,-0.562
373,2021-03-17,-0.561
374,2021-03-18,-0.566
375,2021-03-19,-0.565
376,2021-03-22,-0.566
377,2021-03-23,-0.563
378,2021-03-24,-0.564
379,2021-03-25,-0.564
