,Date,GDP,Marketcap_5000,Indicador de Warren Buffett (%)
0,2016-01-01,18525.933,20841.359375,112.4982983313175
1,2016-04-01,18711.702,,
2,2016-07-01,18892.639,,
3,2016-10-01,19089.379,,
4,2017-01-01,19280.084,,
5,2017-04-01,19438.643,,
6,2017-07-01,19692.595,,
7,2017-10-01,20037.088,,
8,2018-01-01,20328.553,,
9,2018-04-01,20580.912,,
10,2018-07-01,20798.73,,
11,2018-10-01,20917.867,,
12,2019-01-01,21111.6,,
13,2019-04-01,21397.938,,
14,2019-07-01,21717.171,,
15,2019-10-01,21933.217,,
16,2020-01-01,21727.657,,
17,2020-04-01,19935.444,,
18,2020-07-01,21684.551,,
19,2020-10-01,22068.767,,
20,2021-01-01,22656.793,,
21,2021-04-01,23368.861,,
22,2021-07-01,23921.991,,
23,2021-10-01,24777.038,,
24,2022-01-01,25215.491,,
25,2022-04-01,25805.791,,
26,2022-07-01,26272.011,,
27,2022-10-01,26734.277,,
28,2023-01-01,27164.359,,
29,2023-04-01,27453.815,,
30,2023-07-01,27967.697,,
31,2023-10-01,28296.967,,
32,2024-01-01,28624.069,,
33,2024-04-01,29016.714,,
34,2024-07-01,29374.914,,
35,2024-10-01,29723.864,,
36,2025-01-01,29962.047,,
