Date,Unemployment rate
2006-01-01,9.156596
2006-02-01,9.078873
2006-03-01,9.102795
2006-04-01,9.079755
2006-05-01,9.09559
2006-06-01,9.101382
2006-07-01,9.227301
2006-08-01,9.220464
2006-09-01,9.560027
2006-10-01,9.734524
2006-11-01,9.707537
2006-12-01,9.660256
2007-01-01,9.693497
2007-02-01,9.757544
2007-03-01,9.742335
2007-04-01,9.865271
2007-05-01,9.762778
2007-06-01,9.6441
2007-07-01,9.654651
2007-08-01,9.632682
2007-09-01,9.376362
2007-10-01,9.39267
2007-11-01,9.333172
2007-12-01,9.160139
2008-01-01,9.010703
2008-02-01,8.882959
2008-03-01,9.041313
2008-04-01,8.97291
2008-05-01,9.120212
2008-06-01,9.283231
2008-07-01,9.208899
2008-08-01,9.443143
2008-09-01,9.404034
2008-10-01,9.346893
2008-11-01,9.338217
2008-12-01,9.761864
2009-01-01,10.013999
2009-02-01,10.246406
2009-03-01,10.558648
2009-04-01,10.829532
2009-05-01,11.042543
2009-06-01,11.293032
2009-07-01,11.561649
2009-08-01,11.788587
2009-09-01,11.87819
2009-10-01,11.851803
2009-11-01,11.784991
2009-12-01,11.89012
2010-01-01,11.830087
2010-02-01,12.083592
2010-03-01,12.183104
2010-04-01,12.502235
2010-05-01,12.682768
2010-06-01,12.901909
2010-07-01,12.908081
2010-08-01,12.948595
2010-09-01,12.818705
2010-10-01,12.601436
2010-11-01,12.787085
2010-12-01,12.766584
2011-01-01,12.76268
2011-02-01,12.958943
2011-03-01,13.155085
2011-04-01,13.101054
2011-05-01,13.153199
2011-06-01,12.957391
2011-07-01,13.03449
2011-08-01,13.466775
2011-09-01,13.929415
2011-10-01,14.113608
2011-11-01,14.653992
2011-12-01,15.099329
2012-01-01,15.070131
2012-02-01,15.499493
2012-03-01,15.934117
2012-04-01,16.272569
2012-05-01,16.154672
2012-06-01,16.125569
2012-07-01,16.261539
2012-08-01,16.912908
2012-09-01,17.003348
2012-10-01,17.451078
2012-11-01,17.749371
2012-12-01,18.252984
2013-01-01,18.345228
2013-02-01,18.370599
2013-03-01,18.248349
2013-04-01,18.117478
2013-05-01,17.831574
2013-06-01,17.448439
2013-07-01,17.299619
2013-08-01,16.75356
2013-09-01,16.426186
2013-10-01,16.258618
2013-11-01,16.014603
2013-12-01,15.77591
2014-01-01,15.582462
2014-02-01,15.623822
2014-03-01,15.420126
2014-04-01,15.253479
2014-05-01,14.91141
2014-06-01,14.733413
2014-07-01,14.507181
2014-08-01,13.918932
2014-09-01,13.7885
2014-10-01,13.980727
2014-11-01,13.942146
2014-12-01,14.055413
2015-01-01,14.199911
2015-02-01,14.013662
2015-03-01,13.698055
2015-04-01,13.237794
2015-05-01,12.754689
2015-06-01,12.496841
2015-07-01,12.475425
2015-08-01,12.527111
2015-09-01,12.714012
2015-10-01,12.660841
2015-11-01,12.549811
2015-12-01,12.495113
2016-01-01,12.43805
2016-02-01,12.652395
2016-03-01,12.406521
2016-04-01,11.989818
2016-05-01,11.488062
2016-06-01,11.215486
2016-07-01,11.045775
2016-08-01,11.134824
2016-09-01,11.167335
2016-10-01,10.921582
2016-11-01,10.717354
2016-12-01,10.428249
2017-01-01,10.330759
2017-02-01,10.23889
2017-03-01,10.053563
2017-04-01,9.803472
2017-05-01,9.390249
2017-06-01,9.246158
2017-07-01,9.058225
2017-08-01,8.963375
2017-09-01,8.775011
2017-10-01,8.587951
2017-11-01,8.245315
2017-12-01,8.07876
2018-01-01,8.071268
2018-02-01,7.869128
2018-03-01,7.706551
2018-04-01,7.345725
2018-05-01,7.192911
2018-06-01,6.884969
2018-07-01,6.89159
2018-08-01,7.077486
2018-09-01,6.776833
2018-10-01,6.736938
2018-11-01,6.70224
2018-12-01,6.751646
2019-01-01,6.750459
2019-02-01,6.754035
2019-03-01,6.699042
2019-04-01,6.739
2019-05-01,6.615411
2019-06-01,6.501968
2019-07-01,6.412724
2019-08-01,6.42948
2019-09-01,6.615278
2019-10-01,6.571859
2019-11-01,6.76656
2019-12-01,6.907966
2020-01-01,6.930408
2020-02-01,6.652738
2020-03-01,5.959717
2020-04-01,5.733772
2020-05-01,5.964837
2020-06-01,7.323021
2020-07-01,8.052552
2020-08-01,8.353574
2020-09-01,8.256451
2020-10-01,7.826556
2020-11-01,7.276375
2020-12-01,6.926817
2021-01-01,7.057475
2021-02-01,7.014288
2021-03-01,6.843762
2021-04-01,7.185572
2021-05-01,7.194369
2021-06-01,6.93362
2021-07-01,6.640182
2021-08-01,6.509898
2021-09-01,6.573417
2021-10-01,6.475824
2021-11-01,6.297296
2021-12-01,6.034352
2022-01-01,5.979957
2022-02-01,5.897033
2022-03-01,5.992898
2022-04-01,6.123152
2022-05-01,6.135334
2022-06-01,6.018769
2022-07-01,5.981252
2022-08-01,6.100271
2022-09-01,6.245903
2022-10-01,6.171219
2022-11-01,6.578583
2022-12-01,6.847478
2023-01-01,7.109698
2023-02-01,7.026874
2023-03-01,6.914939
2023-04-01,6.604467
2023-05-01,6.341941
2023-06-01,6.193815
2023-07-01,6.225817
2023-08-01,6.276597
2023-09-01,6.577027
2023-10-01,6.625498
2023-11-01,6.531272
2023-12-01,6.468825
2024-01-01,6.556508
2024-02-01,6.63525
2024-03-01,6.498217
2024-04-01,6.392974
2024-05-01,6.351145
2024-06-01,6.306316
2024-07-01,6.332624
2024-08-01,6.281814
2024-09-01,6.504689
2024-10-01,6.600541
2024-11-01,6.588651
2024-12-01,6.466651
2025-01-01,6.439889
2025-02-01,6.450316
2025-03-01,6.481615
